,/lpc/nct6779d/control/0,/lpc/nct6779d/control/1,/lpc/nct6779d/control/2,/lpc/nct6779d/control/3,/lpc/nct6779d/control/4,/lpc/nct6779d/voltage/0,/lpc/nct6779d/voltage/1,/lpc/nct6779d/voltage/2,/lpc/nct6779d/voltage/3,/lpc/nct6779d/voltage/4,/lpc/nct6779d/voltage/6,/lpc/nct6779d/voltage/7,/lpc/nct6779d/voltage/8,/lpc/nct6779d/voltage/9,/lpc/nct6779d/voltage/10,/lpc/nct6779d/voltage/11,/lpc/nct6779d/voltage/12,/lpc/nct6779d/voltage/13,/lpc/nct6779d/voltage/14,/lpc/nct6779d/temperature/0,/lpc/nct6779d/temperature/1,/lpc/nct6779d/temperature/2,/lpc/nct6779d/temperature/3,/lpc/nct6779d/temperature/4,/lpc/nct6779d/temperature/5,/lpc/nct6779d/temperature/6,/lpc/nct6779d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
10/08/2020 10:12:16,100,100,100,100,100,0.992000043,1.008,3.328,3.328,1.03200006,0.776,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,46,41.5,119,38,112,111,30,2537.594,26.5625,34.375,28.125,32.8125,30.46875,52,54,49,53,54,3600.02783,3600.02783,1600.01233,1600.01233,20.3865128,14.8793325,0,100.000771,52.32677,4.15839767,3.78858185,39,901.451538,2505.58423,1802.90308,11,4,0,6,33,2048,520.960938,1527.03906,25.4375458,37,19.31678
10/08/2020 10:12:17,100,100,100,100,100,0.992000043,1.008,3.328,3.328,1.03200006,0.776,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,46,41.5,119,38,112,111,29,2556.818,26.5625,42.1875,26.5625,35.9375,32.8125,49,56,47,54,56,1600.01221,3600.02734,3600.02734,3600.02734,21.8080387,16.2874336,0,100.000763,52.28573,4.155136,3.79184341,38,901.451538,2505.58423,1802.90308,11,4,0,6,33,2048,519.9531,1528.04688,25.3883362,37,19.31678
10/08/2020 10:12:18,100,100,100,100,100,1,1.008,3.328,3.328,1.03200006,0.776,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,46.5,41.5,120,38,112,111,30,2547.17,35.9375,35.9375,26.5625,42.1875,35.15625,52,56,49,54,56,1600.01245,3700.02881,1600.01245,3700.02881,22.7688255,17.20332,0,100.000778,52.70834,4.1887207,3.75825882,38,901.451538,2505.58423,1802.90308,9,4,0,5,33,2048,519.7031,1528.29688,25.37613,37,19.31678
10/08/2020 10:12:19,100,100,100,100,100,1.03200006,1.008,3.344,3.328,1.03200006,0.776,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,45.5,41.5,119,38,112,110,29,2532.833,34.375,26.5625,29.6875,28.125,29.6875,50,55,48,54,55,3600.02759,3600.02759,3600.02759,3600.02759,21.5085869,15.9540606,0,100.000763,52.6935043,4.187542,3.75943756,38,901.451538,2505.58423,1802.90308,13,5,0,7,33,2048,525.7656,1522.23438,25.67215,37,19.31678
10/08/2020 10:12:20,100,100,100,100,100,1.04000008,1.008,3.328,3.31200027,1.03200006,0.776,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,46.5,41.5,120,38,112,111,30,2556.818,34.375,35.9375,29.6875,45.3125,36.328125,52,56,48,54,56,3600.02734,3600.02734,3600.02734,3600.02734,23.5320187,17.94466,0,100.000755,52.70416,4.188389,3.7585907,39,901.451538,2505.58423,1802.90308,12,4,0,6,33,2048,524.6406,1523.35938,25.617218,37,19.31678
10/08/2020 10:12:21,100,100,100,100,100,1.0480001,1.008,3.328,3.31200027,1.03200006,0.776,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,46,41.5,119,38,113,111,29,2537.594,32.8125,42.1875,25,35.9375,33.984375,50,55,48,53,55,3600.02661,1600.01184,3700.02734,3600.02661,22.28867,16.7425385,0,100.00074,52.72178,4.189789,3.7571907,38,901.451538,2505.58423,1802.90308,12,4,0,7,33,2048,524.6406,1523.35938,25.617218,37,19.31678
10/08/2020 10:12:22,100,100,100,100,100,1.03200006,1.008,3.344,3.31200027,1.04000008,0.776,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,45.5,41.5,120,38,113,111,30,2547.17,25,25,29.6875,25,26.171875,49,55,46,53,55,3600.02954,3600.02954,3600.02954,3600.02954,19.7882137,14.32791,0,100.000824,52.71899,4.18956757,3.757412,39,901.451538,2505.58423,1802.90308,7,3,0,3,33,2048,524.3906,1523.60938,25.605011,37,19.31678
10/08/2020 10:12:23,100,100,100,100,100,1.016,1.008,3.328,3.328,1.03200006,0.776,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,45.5,41.5,119,38,112,111,30,2556.818,28.125,20.3125,26.5625,26.5625,25.390625,51,54,47,53,54,3600.026,3700.02661,3600.026,3600.026,20.0885181,14.6027412,0,100.000717,52.7152519,4.18927,3.7577095,39,901.451538,2505.58423,1802.90308,12,5,0,6,33,2048,524.3906,1523.60938,25.605011,37,19.31678
10/08/2020 10:12:24,100,100,100,100,100,1.016,1.008,3.328,3.328,1.04000008,0.776,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,45,41.5,120,38,112,111,30,2537.594,23.4375,31.25,10.9375,29.6875,23.828125,51,53,47,54,54,3700.03,3600.0293,3600.0293,3600.0293,20.1261826,14.6391115,0,100.000816,52.3844223,4.162979,3.7840004,39,901.451538,2505.58423,1802.90308,10,4,0,6,33,2048,524.3906,1523.60938,25.605011,37,19.31678
10/08/2020 10:12:25,100,100,100,100,100,0.9760001,1.008,3.328,3.31200027,1.04000008,0.776,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,45.5,41.5,120,38,112,111,30,2547.17,39.0625,40.625,23.4375,37.5,35.15625,55,55,49,53,55,3600.02832,3600.02832,3600.02832,3600.02832,22.7065258,17.136,0,100.000786,52.73728,4.191021,3.75595856,39,901.451538,2505.58423,1802.90308,12,5,0,6,33,2048,517.7656,1530.23438,25.2815247,37,19.31678
10/08/2020 10:12:26,100,100,100,100,100,0.944000065,1.008,3.344,3.31200027,1.03200006,0.776,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,45.5,41.5,120,38,113,111,30,2556.818,31.25,32.8125,28.125,28.125,30.078125,50,53,48,53,53,3600.027,3700.028,3700.028,3600.027,21.34854,15.83032,0,100.000755,52.72197,4.189804,3.75717545,39,901.451538,2505.58423,1802.90308,8,4,0,5,33,2048,517.7656,1530.23438,25.2815247,37,19.31678
10/08/2020 10:12:27,100,100,100,100,100,1,1.008,3.328,3.328,1.03200006,0.776,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,45,41.5,119,38,113,111,30,2542.3728,23.4375,25,14.0625,25,21.875,50,56,47,54,56,1600.01257,3700.029,3700.029,3600.02832,19.6705151,14.220624,0,100.000786,52.70651,4.18857574,3.75840378,39,901.451538,2505.58423,1802.90308,6,3,0,3,33,2048,517.7656,1530.23438,25.2815247,37,19.31678
10/08/2020 10:12:28,100,100,100,100,100,1.04000008,1.008,3.328,3.328,1.04000008,0.776,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,45.5,41.5,119,38,112,111,30,2547.17,37.5,20.3125,28.125,23.4375,27.34375,49,55,47,53,55,1600.01208,1600.01208,1600.01208,3700.028,20.1876354,14.71456,0,100.000755,52.3490944,4.16017151,3.786808,39,901.451538,2505.58423,1802.90308,7,3,0,3,33,2048,517.667969,1530.332,25.2767563,37,19.31678
10/08/2020 10:12:29,100,100,100,100,100,1,1.008,3.328,3.328,1.03200006,0.776,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,45,41.5,119,38,113,110,30,2556.818,23.4375,29.6875,20.3125,18.75,23.046875,50,53,46,52,53,3700.02881,3700.02881,3600.02783,3700.02881,19.7338467,14.2866364,0,100.000778,52.3419876,4.159607,3.78737259,39,901.451538,2505.58423,1802.90308,9,4,0,5,33,2048,517.667969,1530.332,25.2767563,37,19.31678
