Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64
09/24/2020 13:33:33;100;100;100;100;100;1.088;1.008;3.328;3.328;1.04000008;0.8;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51;41;121;37;113;111;34;2327.58618;59.375;59.375;64.0625;64.0625;61.71875;55;62;53;55;62;3600.02441;3600.02441;3600.02441;3600.02441;31.756094;25.8870411;0;100.000679;51.510498;4.09352875;3.85345078;35;202.500015;405.000031;405.000031;69;57;0;9;33;2048;645.5117;1402.48828;31.5191269;37;18.4648285
09/24/2020 13:33:34;100;100;100;100;100;1.08;1.008;3.328;3.328;1.04000008;0.8;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51;41;120;37;113;111;32;2323.58;51.5625;54.6875;53.125;59.375;54.6875;55;61;54;56;61;3600.02417;3600.02417;3600.02417;3600.02417;31.07504;25.1722755;0;100.000671;51.5388222;4.09577942;3.8512;34;231.428513;405.000031;462.857025;89;71;0;14;33;2048;645.5117;1402.48828;31.5191269;37;18.4648285
09/24/2020 13:33:35;100;100;100;100;100;1.088;1;3.328;3.31200027;1.04000008;0.8;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51;41;121;37;114;111;32;2327.58618;60.9375;64.0625;64.0625;75;66.015625;54;61;54;57;61;3600.02515;3600.02515;3600.02515;3600.02515;32.7479134;26.7783718;0;100.000694;51.66511;4.105816;3.84116364;34;231.428513;405.000031;462.857025;32;30;0;7;33;2048;645.5117;1402.48828;31.5191269;37;18.46566
09/24/2020 13:33:36;100;100;100;100;100;1.072;1.008;3.31200027;3.31200027;1.03200006;0.8;3.3920002;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;52.5;41;121;37;114;111;32;2331.6062;75;79.6875;85.9375;79.6875;80.078125;58;62;58;58;62;3600.02417;3600.02417;3600.02417;3600.02417;35.41985;29.4914589;0;100.000671;51.77806;4.114792;3.83218765;35;901.451538;2505.58423;1802.90308;18;10;0;6;33;2048;652.8867;1395.11328;31.8792343;37;18.46566
09/24/2020 13:33:37;100;100;100;100;100;1.08;1.008;3.328;3.31200027;1.03200006;0.8;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51.5;41;121;37;113;111;34;2331.6062;53.125;68.75;54.6875;53.125;57.421875;56;59;52;56;59;3600.025;3600.025;3600.025;3600.025;32.14442;26.2578468;0;100.000694;51.7666855;4.113888;3.83309174;35;901.451538;2505.58423;1802.90308;13;8;0;3;33;2048;648.3242;1399.67578;31.656456;37;18.46566
09/24/2020 13:33:38;100;100;100;100;100;1.088;1.008;3.31200027;3.31200027;1.03200006;0.8;3.3920002;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51.5;41;120;37;113;111;32;2331.6062;62.5;64.0625;60.9375;71.875;64.84375;56;60;55;57;60;3600.025;3600.025;3600.025;3600.025;32.54512;26.6121;0;100.000694;51.8576965;4.12112045;3.825859;35;901.451538;2505.58423;1802.90308;12;7;0;5;33;2048;648.6992;1399.30078;31.6747665;37;18.46566
09/24/2020 13:33:39;100;100;100;100;100;1.088;1.008;3.328;3.31200027;1.03200006;0.8;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51;41;121;37;114;112;32;2327.58618;60.9375;60.9375;68.75;54.6875;61.328125;55;61;56;55;61;3600.025;3600.025;3600.025;3600.025;32.35926;26.4134426;0;100.000694;51.95005;4.12846;3.81851959;36;901.451538;2505.58423;1802.90308;16;8;0;6;33;2048;648.8242;1399.17578;31.68087;37;18.46566
09/24/2020 13:33:40;100;100;100;100;100;1.08;1.008;3.31200027;3.31200027;1.03200006;0.8;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;52;41;120;37;113;111;32;2327.58618;78.125;81.25;75;75;77.34375;56;60;56;57;60;3600.02441;3600.02441;3600.02441;3600.02441;34.5556;28.49033;0;100.000679;51.9509621;4.12853241;3.818447;35;901.451538;2505.58423;1802.90308;20;9;0;8;33;2048;659.3867;1388.61328;32.1966171;37;18.46566
09/24/2020 13:33:41;100;100;100;100;100;1.088;1.008;3.328;3.31200027;1.03200006;0.8;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;50.5;41.5;120;37;113;111;32;2331.6062;62.5;57.8125;54.6875;60.9375;58.984375;55;59;54;57;59;3600.02539;3600.02539;3600.02539;3600.02539;31.1235123;25.2025928;0;100.00071;51.99868;4.132324;3.8146553;35;901.451538;2505.58423;1802.90308;15;7;0;7;33;2048;659.3867;1388.61328;32.1966171;37;18.46566
09/24/2020 13:33:42;100;100;100;100;100;0.960000038;1.008;3.328;3.328;1.04000008;0.8;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;50;41.5;121;37;114;111;34;2331.6062;53.125;59.375;53.125;56.25;55.46875;53;57;51;52;57;1600.01111;3600.025;3600.025;3600.025;29.42604;23.54167;0;100.000694;51.7523346;4.112747;3.83423233;36;901.451538;2505.58423;1802.90308;16;8;0;6;33;2048;659.3867;1388.61328;32.1966171;37;18.46566
